model,chromosome,fitness
model0,"(128, 'Adam', np.float64(0.002), np.float64(1e-05), 'ExponentialLR')",0.7148147151416234
model1,"(128, 'RMSprop', np.float64(0.0002), np.float64(8e-05), 'ExponentialLR')",0.7213660459190171
model2,"(96, 'Adam', np.float64(0.0005), np.float64(0.00022), 'ExponentialLR')",0.7236904072934265
model3,"(128, 'Adam', np.float64(0.0002), np.float64(0.00179), 'CyclicLR')",0.7285869360823253
model4,"(96, 'Adam', np.float64(0.0002), np.float64(0.00027), 'ExponentialLR')",0.7309379748690379
model5,"(128, 'Adam', np.float64(0.0008), np.float64(0.00022), 'CyclicLR')",0.7287793310897644
model6,"(64, 'Adadelta', np.float64(0.0023), np.float64(2e-05), 'ExponentialLR')",0.8586894332441602
model7,"(128, 'Adam', np.float64(0.0026), np.float64(0.00628), 'ReduceLROnPlateau')",0.8324889066164914
model8,"(128, 'Adam', np.float64(0.002), np.float64(1e-05), 'CyclicLR')",0.7262114180079546
model9,"(96, 'RMSprop', np.float64(0.0002), np.float64(0.00027), 'ExponentialLR')",0.7326642053710688
model10,"(96, 'Adam', np.float64(0.0002), np.float64(0.00027), 'CyclicLR')",0.7229792445003047
model11,"(96, 'Adam', np.float64(0.0017), np.float64(0.00022), 'CyclicLR')",0.74320792987793
model12,"(96, 'Adadelta', np.float64(0.0005), np.float64(0.00156), 'ExponentialLR')",0.9955565123640071
model13,"(96, 'RMSprop', np.float64(0.0075), np.float64(0.00022), 'ExponentialLR')",0.843188677848163
model14,"(128, 'RMSprop', np.float64(0.0002), np.float64(0.00022), 'CyclicLR')",0.7354430454780658
model15,"(64, 'Adam', np.float64(0.0002), np.float64(0.00179), 'CyclicLR')",0.7515353853685671
model16,"(96, 'Adam', np.float64(0.0038), np.float64(0.00859), 'ExponentialLR')",0.8382343792511435
model17,"(96, 'RMSprop', np.float64(0.0005), np.float64(0.00022), 'ExponentialLR')",0.7781930341725687
model18,"(128, 'RMSprop', np.float64(0.0002), np.float64(0.00022), 'ReduceLROnPlateau')",0.7527847226589275
model19,"(96, 'Adam', np.float64(0.001), np.float64(0.00022), 'CyclicLR')",0.7382301242584486
