model,chromosome,fitness
model0,"(128, 'RMSprop', 0.0001, 3e-05, 'ExponentialLR')",0.9654344153276891
model1,"(128, 'Adam', 0.0006, 0.00037, 'ExponentialLR')",0.9783390297338095
model2,"(96, 'RMSprop', 0.0001, 0.00042, 'ReduceLROnPlateau')",1.017099152802774
model3,"(128, 'Adam', 0.0099, 5e-05, 'CyclicLR')",1.0131940665662775
model4,"(96, 'Adam', 0.0001, 0.00018, 'ReduceLROnPlateau')",1.0142625436316377
model5,"(64, 'RMSprop', 0.003, 0.0001, 'CyclicLR')",1.0605913740964776
model6,"(96, 'Adam', 0.0006, 0.00037, 'ReduceLROnPlateau')",1.0160593127208364
model7,"(96, 'RMSprop', 0.0001, 3e-05, 'ExponentialLR')",0.9908222274662083
model8,"(128, 'RMSprop', 0.0005, 3e-05, 'ExponentialLR')",0.9975572164841525
model9,"(64, 'RMSprop', 0.0001, 0.00038, 'ReduceLROnPlateau')",1.0327774911691616
model10,"(128, 'RMSprop', 0.001, 0.00017, 'ReduceLROnPlateau')",1.065081812047273
model11,"(128, 'RMSprop', 0.0004, 0.00018, 'ReduceLROnPlateau')",1.0289361787569156
model12,"(64, 'Adadelta', 0.0099, 0.00038, 'ReduceLROnPlateau')",1.0981026071751832
model13,"(96, 'RMSprop', 0.0099, 5e-05, 'ReduceLROnPlateau')",1.1477375333646154
model14,"(64, 'RMSprop', 0.0001, 3e-05, 'ExponentialLR')",1.013106953519606
model15,"(64, 'Adam', 0.0001, 0.00037, 'ReduceLROnPlateau')",1.0304890956019486
