model,chromosome,fitness
model0,"(96, 'RMSprop', np.float64(0.0001), np.float64(0.00381), 'ExponentialLR')",1.0243649343732637
model1,"(96, 'Adam', np.float64(0.001), np.float64(0.00381), 'ExponentialLR')",1.0382453867128085
model2,"(128, 'Adam', np.float64(0.0013), np.float64(0.00571), 'CyclicLR')",1.0344139342204395
model3,"(96, 'Adam', np.float64(0.0024), np.float64(0.00079), 'CyclicLR')",1.0343393752389636
model4,"(96, 'Adam', np.float64(0.001), np.float64(0.00381), 'ExponentialLR')",1.0387196789921562
model5,"(128, 'Adam', np.float64(0.0001), np.float64(0.00106), 'CyclicLR')",1.4214982470006805
model6,"(96, 'Adam', np.float64(0.0073), np.float64(0.00348), 'ReduceLROnPlateau')",1.0812615485974537
model7,"(96, 'RMSprop', np.float64(0.0073), np.float64(2e-05), 'ExponentialLR')",1.0618370805656165
model8,"(64, 'Adadelta', np.float64(0.001), np.float64(0.00381), 'ExponentialLR')",1.6735240271576426
model9,"(128, 'RMSprop', np.float64(0.0013), np.float64(0.00062), 'CyclicLR')",1.0348151817032243
model10,"(96, 'RMSprop', np.float64(0.0019), np.float64(0.00216), 'CyclicLR')",1.06988619123958
model11,"(128, 'Adadelta', np.float64(0.0003), np.float64(0.0002), 'ReduceLROnPlateau')",1.5514915783357899
model12,"(96, 'Adam', np.float64(0.0021), np.float64(0.00092), 'ExponentialLR')",1.025703666859336
model13,"(128, 'Adam', np.float64(0.0073), np.float64(2e-05), 'ReduceLROnPlateau')",1.0069897769049072
model14,"(128, 'RMSprop', np.float64(0.0013), np.float64(1e-05), 'ReduceLROnPlateau')",1.0132711139823476
model15,"(96, 'Adam', np.float64(0.0038), np.float64(0.00079), 'ReduceLROnPlateau')",1.0282153306833748
